gem	sole_impact	reach_impact	failure_type	achievability	transitive_loadbearing
fiddle	5	12	c-extension	native	0
inspec	5	5	no-entrypoint	compiler	0
andand	5	9	analyze-failed	compiler	0
whittle	5	6	other	compiler	0
prism	5	7	c-extension	native	26935
rb-fsevent	5	170	c-extension	native	1890
zip-zip	5	12	no-entrypoint	compiler	0
gtk2	5	8	c-extension	native	0
net-dns	5	7	no-entrypoint	compiler	0
json-jwt	5	8	no-entrypoint	compiler	0
dry-cli	5	9	no-entrypoint	compiler	0
visionmedia-commander	5	7	analyze-failed	compiler	0
gtk3	4	9	c-extension	native	0
vault	4	10	analyze-failed	compiler	0
decisiontree	4	4	other	compiler	0
fileutils	4	15	analyze-failed	compiler	0
pusher	4	5	analyze-failed	compiler	0
yaml	4	21	analyze-failed	compiler	0
gitlab	4	15	analyze-failed	compiler	0
ruby2_keywords	4	14	analyze-failed	compiler	33476
rb-blink1	4	6	c-extension	native	0
http-2	4	15	no-entrypoint	compiler	0
http_parser.rb	4	59	c-extension	native	1535
callsite	4	6	analyze-failed	compiler	0
dry-initializer	4	9	analyze-failed	compiler	0
ruby-ip	4	4	other	compiler	0
poltergeist	4	6	no-entrypoint	compiler	0
watchr	4	9	analyze-failed	compiler	0
git-version-bump	4	4	analyze-failed	compiler	0
aduki	4	5	analyze-failed	compiler	0
rack-test	4	12	no-entrypoint	compiler	8946
rack-proxy	4	9	other	compiler	0
ibm_cloud_sdk_core	4	4	analyze-failed	compiler	0
caxlsx	4	5	analyze-failed	compiler	0
user_agent_parser	4	4	other	compiler	0
narray	4	13	no-entrypoint	compiler	0
ecdsa	4	8	analyze-failed	compiler	0
ruby-mp3info	4	6	analyze-failed	compiler	0
winrm	4	6	analyze-failed	compiler	0
ncurses-ruby	4	6	c-extension	native	0
lograge	4	6	analyze-failed	compiler	0
RubyInline	4	5	analyze-failed	compiler	0
mysql	4	11	c-extension	native	0
pg_query	4	4	c-extension	native	0
SystemTimer	4	5	c-extension	native	0
safe_yaml	4	30	analyze-failed	compiler	4898
http_router	3	6	analyze-failed	compiler	0
gpgme	3	8	c-extension	native	0
net_http_unix	3	4	other	compiler	0
mqtt	3	8	other	compiler	0
tty-command	3	7	analyze-failed	compiler	0
dropbox-sdk	3	5	analyze-failed	compiler	0
optparse	3	8	analyze-failed	compiler	0
numo-narray	3	11	no-entrypoint	compiler	0
ParseTree	3	6	analyze-failed	compiler	0
nmatrix	3	5	c-extension	native	0
active_interaction	3	3	analyze-failed	compiler	0
gnista	3	3	c-extension	native	0
rubypants	3	3	analyze-failed	compiler	0
escape_utils	3	10	c-extension	native	0
kommando	3	3	analyze-failed	compiler	0
whois	3	4	other	compiler	0
http-rest_client	3	3	no-entrypoint	compiler	0
mandrill-api	3	3	analyze-failed	compiler	0
dnssd	3	6	c-extension	native	0
git_store	3	3	analyze-failed	compiler	0
amazon-ec2	3	4	other	compiler	0
hkdf	3	4	analyze-failed	compiler	0
roda	3	6	analyze-failed	compiler	0
